Registration Number,Annual Turnover
20001,26172557
20002,35431827
20003,25153117
20004,42014541
20005,46985590
20006,36626360
20007,27043334
20008,31873524
20009,23804006
20010,17947251
20011,25287390
20012,34772718
20013,30532587
20014,31291595
20015,19153264
20016,38209299
20017,43521442
20018,18301588
20019,37056130
20020,27027389
20021,14503388
20022,37107762
20023,27117659
20024,19765929
20025,34742814
20026,22697225
20027,36082093
20028,31353691
20029,31351189
20030,23509566
20031,35473024
20032,37598314
20033,26321281
20034,36772443
20035,26032097
20036,27449777
20037,42731708
20038,32443762
20039,24786275
20040,29510656
20041,23998223
20042,22428689
20043,26860215
20044,24959499
20045,36249165
20046,23580306
20047,24065094
20048,39219407
20049,29964140
20050,31195369
20051,35490121
20052,40518152
20053,18053169
20054,20883486
20055,37213828
20056,35622083
20057,19287863
20058,36035897
20059,35317840
20060,30740341
20061,20754915
20062,29048175
20063,37092976
20064,43319383
20065,33639289
20066,34096252
20067,19850590
20068,20242313
20069,28318828
20070,52946433
20071,25832754
20072,26509685
20073,22327896
20074,28367960
20075,24564949
20076,35135758
20077,34764798
20078,31808295
20079,31363492
20080,22222187
20081,31508028
20082,35825516
20083,33648246
20084,34541476
20085,37226490
20086,29344787
20087,22101902
20088,33547393
20089,50549172
20090,28528055
20091,34859857
20092,15801872
20093,32598779
20094,18870382
20095,35651587
20096,33836091
20097,25884364
20098,25223380
20099,28557361
20100,27134481
20101,38112769
20102,25530371
20103,34691918
20104,27805241
20105,47726451
20106,38638661
20107,40881026
20108,25891772
20109,25121526
20110,30028730
20111,24045771
20112,32632415
20113,23878976
20114,41035558
20115,31001176
20116,43551255
20117,17299928
20118,38101421
20119,27333788
20120,38868972
20121,18550621
20122,35413376
20123,29735599
20124,23639650
20125,55385409
20126,26776720
20127,23192406
20128,19171309
20129,29568134
20130,35563438
20131,27641948
20132,16725094
20133,25558467
20134,31564929
20135,34523774
20136,29228853
20137,35684710
20138,27864162
20139,29851693
20140,25002967
20141,39509139
20142,29745050
20143,27083605
20144,17994583
20145,25538061
20146,33121530
20147,48386938
20148,31277947
20149,29886517
20150,19923273
20151,34692171
20152,16883665
20153,27534780
20154,24371212
20155,33332387
20156,19838880
20157,31858073
20158,39191057
20159,37329681
20160,28024785
20161,28472879
20162,25690368
20163,37928114
20164,38759793
20165,27746338
20166,33348870
20167,20993617
20168,28856813
20169,36581779
20170,25564739
20171,36479853
20172,34109845
20173,22531702
20174,40076896
20175,31617676
20176,35447701
20177,32674083
20178,22992676
20179,15143523
20180,35720639
20181,42583988
20182,40806866
20183,26702524
20184,30670745
20185,25628436
20186,24212210
20187,25135597
20188,22493073
20189,37002842
20190,43078266
20191,20494472
20192,27841654
20193,30791777
20194,34266134
20195,25237951
20196,27896270
20197,37948839
20198,16667740
20199,35726731
20200,36333737
20201,31962503
20202,34693845
20203,19670074
20204,25244913
20205,20848813
20206,43878219
20207,32383379
20208,29754930
20209,28579327
20210,26093748
20211,23552702
20212,32192020
20213,36119084
20214,24979937
20215,25724423
20216,18343185
20217,28136768
20218,38024077
20219,42335169
20220,38516919
20221,27894434
20222,24278655
20223,27711830
20224,24422569
20225,35008464
20226,37703106
20227,38677409
20228,35332351
20229,33202272
20230,29958684
20231,19127811
20232,39484401
20233,32436063
20234,44736638
20235,24478760
20236,25689291
20237,33023329
20238,18984713
20239,25703865
20240,43383164
20241,24563612
20242,26834197
20243,37379509
20244,20104207
20245,34047173
20246,25536314
20247,18415362
20248,33009775
20249,23009012
20250,33210060
20251,36072704
20252,43873334
20253,27355602
20254,33503099
20255,27271222
20256,25101010
20257,23374655
20258,37249818
20259,44110528
20260,20774497
20261,35229191
20262,13186741
20263,39623154
20264,28785044
20265,28058576
20266,23780779
20267,23466517
20268,31038726
20269,37049727
20270,30675769
20271,49235401
20272,31425249
20273,22167111
20274,28617022
20275,34158283
20276,32453440
20277,19704545
20278,36737308
20279,31621691
20280,36122796
20281,26525482
20282,37291826
20283,24931958
20284,22270065
20285,23111389
20286,38026455
20287,27874401
20288,26907899
20289,29893101
20290,31877485
20291,37215078
20292,29970884
20293,27405452
20294,32538130
20295,26794340
20296,19553036
20297,11827134
20298,26349764
20299,35219339
20300,24276692
20301,19978322
20302,34512747
20303,16908458
20304,21774904
20305,38871015
20306,30500686
20307,31008624
20308,19006665
20309,31777158
20310,32766083
20311,21578925
20312,37734846
20313,36871203
20314,21058650
20315,28792636
20316,30834849
20317,18588355
20318,22837693
20319,16505989
20320,16341466
20321,36883421
20322,30350769
20323,23421672
20324,44688420
20325,29011541
20326,29862768
20327,30989500
20328,14433858
20329,21757358
20330,31980320
20331,34717326
20332,39497414
20333,38647995
20334,48594357
20335,37835639
20336,37173571
20337,38167069
20338,26771397
20339,50063755
20340,32213956
20341,34515824
20342,19676916
20343,34452898
20344,18877400
20345,14954690
20346,39083405
20347,38113876
20348,30060811
20349,33588714
20350,20216425
20351,32754928
20352,18907721
20353,35182568
